gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_submitted,is_banked,num_assessments,avg_score,region_East Midlands Region,region_London Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,code_module_BBB,code_module_CCC,code_module_DDD,code_module_EEE,code_module_FFF,code_module_GGG,code_presentation_2013J,code_presentation_2014B,code_presentation_2014J
1,2,3.0,0,0,60,0,2,114.2,0,5,78.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,6.0,0,0,60,0,2,113.8,0,5,76.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2.0,0,0,60,0,2,115.4,0,5,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,1,0,60,0,2,113.8,0,5,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,9.0,1,0,60,0,2,114.0,0,3,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,6.0,1,0,60,0,2,117.6,0,5,77.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,3,6.0,1,0,60,0,2,115.6,0,5,72.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,3,0.0,0,0,60,0,2,123.6,0,5,62.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,1,0,60,0,2,109.6,0,5,74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,3.0,0,0,120,0,2,114.2,0,5,61.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,1,0,60,0,2,115.4,0,5,71.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,4.0,0,0,180,0,2,118.4,0,5,69.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,8.0,1,0,120,0,2,113.4,0,5,67.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,9.0,1,0,60,0,0,113.4,0,5,84.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,1,0,60,0,2,112.4,0,5,80.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,3.0,0,0,240,0,2,115.6,0,5,72.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,8.0,1,0,60,0,2,114.8,0,5,68.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,6.0,0,0,120,0,2,118.4,0,5,54.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2.0,0,0,60,1,1,119.0,0,5,50.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,8.0,0,0,150,0,2,110.6,0,5,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.0,1,0,420,0,2,115.0,0,5,67.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2.0,1,0,60,0,2,113.2,0,5,79.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,9.0,0,0,60,0,2,123.6,0,5,70.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,60,0,2,113.8,0,5,71.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,4.0,1,0,60,0,2,117.0,0,5,69.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0.0,1,0,60,0,2,114.2,0,5,66.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,9.0,2,0,60,0,2,112.2,0,5,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,7.0,1,0,60,0,2,114.6,0,5,78.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,8.0,0,0,180,0,1,130.4,0,5,37.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,0,0,120,0,2,111.4,0,5,53.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,6.0,0,0,60,0,2,114.8,0,5,54.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.0,0,0,180,0,2,115.2,0,5,49.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,1,0,170,0,2,111.6,0,5,59.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,0.0,0,0,120,0,1,24.0,0,1,74.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,3.0,1,0,60,0,2,122.8,0,5,76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,5.0,1,0,60,0,0,112.2,0,5,89.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,113.6,0,5,79.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,9.0,0,0,60,0,2,114.6,0,5,68.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5.0,1,0,60,0,2,112.2,0,5,54.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,1,0,60,0,2,114.2,0,5,72.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,0,0,90,1,1,67.0,0,3,56.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0.0,1,0,60,0,0,113.2,0,5,83.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,6.0,0,0,60,0,2,114.2,0,5,72.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5.0,0,0,60,0,2,121.0,0,5,61.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,0,0,60,0,2,113.4,0,5,66.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,5.0,0,0,60,0,2,113.2,0,5,78.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,0,0,240,0,2,101.75,0,4,67.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,9.0,0,0,60,0,2,115.8,0,5,78.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,2,0,60,0,2,114.2,0,5,79.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,0,0,80,0,2,114.2,0,5,75.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,112.2,0,5,58.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,1,0,60,0,2,108.2,0,5,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,6.0,1,0,60,0,1,115.2,0,5,58.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,2.0,1,0,60,0,2,113.6,0,5,77.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,1,0,60,0,2,114.0,0,5,55.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2.0,0,0,90,0,2,118.0,0,5,78.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2.0,1,0,60,0,2,119.0,0,5,71.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,0.0,0,0,120,0,2,118.8,0,5,76.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,3.0,0,0,60,0,2,116.4,0,5,58.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,7.0,1,0,60,0,2,117.4,0,5,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,1,0,60,0,2,116.8,0,5,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,3.0,1,0,60,0,2,113.2,0,5,76.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.0,1,0,90,0,1,112.0,0,5,74.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,8.0,1,0,60,0,2,114.2,0,5,76.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,4.0,0,0,60,0,0,111.2,0,5,79.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,3.0,0,0,150,0,2,115.6,0,5,73.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,7.0,1,0,60,0,1,112.0,0,5,55.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,1,0,60,0,2,120.0,0,5,60.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,1,0,60,0,2,116.2,0,5,71.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,113.8,0,5,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,0,0,60,0,2,115.4,0,5,70.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,0,0,60,0,2,113.4,0,5,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,1,0,60,0,0,114.8,0,5,83.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,120,0,2,142.0,0,4,46.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,2,0,60,0,2,110.6,0,5,78.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,60,0,2,112.8,0,5,52.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,1,0,240,0,1,153.7058823529412,0,17,71.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,1,0,180,0,2,153.7058823529412,0,17,71.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4,9.0,2,0,60,0,0,111.4,0,5,86.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,8.0,0,0,60,0,2,116.8,0,5,80.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,1,0,60,0,2,105.6,0,5,78.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,4.0,0,0,60,0,1,64.66666666666667,0,3,58.66666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,60,0,1,19.0,0,1,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,120,1,2,114.2,0,5,78.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,5.0,1,0,120,0,2,113.8,0,5,58.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,9.0,1,0,60,0,2,111.2,0,5,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0.0,0,0,60,0,2,113.8,0,5,62.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0.0,0,0,60,0,2,114.2,0,5,81.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,60,0,2,90.75,0,4,60.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,6.0,2,0,120,0,2,114.4,0,5,59.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4,9.0,2,0,60,0,0,112.6,0,5,87.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,60,0,2,113.4,0,5,61.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,8.0,0,0,120,0,2,106.2,0,5,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5.0,0,0,60,0,2,115.6,0,5,78.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,2,0,60,0,2,111.4,0,5,80.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,4.0,1,0,60,0,2,113.6,0,5,80.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0.0,1,0,60,0,2,113.6,0,5,57.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,113.4,0,5,61.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,6.0,1,0,60,0,2,113.8,0,5,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,0,0,120,0,2,114.0,0,5,65.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,0,0,60,0,2,114.2,0,5,74.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5.0,0,0,150,0,1,68.5,0,2,53.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,112.2,0,5,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,4.0,0,0,180,0,1,130.2,0,5,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5.0,2,0,60,0,2,104.2,0,5,77.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,0.0,0,0,60,0,2,112.2,0,5,60.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,0.0,0,0,60,0,1,113.2,0,5,49.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,6.0,0,0,180,1,2,115.8,0,5,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,0,0,60,0,0,111.8,0,5,80.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,5.0,0,0,120,0,2,113.2,0,5,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,1,0,60,0,2,114.2,0,5,73.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,0.0,0,0,60,0,1,63.33333333333334,0,3,57.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,7.0,1,0,60,0,1,86.5,0,4,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0.0,0,0,120,0,2,114.2,0,5,56.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0.0,1,0,60,0,2,112.4,0,5,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,4.0,0,0,60,0,2,112.0,0,5,76.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5.0,0,0,120,1,2,119.4,0,5,50.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,5.0,1,0,120,0,1,113.4,0,5,55.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0.0,0,0,180,0,2,108.8,0,5,66.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,2,8.0,1,0,60,0,2,116.2,0,5,72.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,8.0,0,0,60,0,2,112.2,0,5,67.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,115.8,0,5,75.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,120,0,2,116.0,0,5,68.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,8.0,1,0,60,0,2,116.2,0,5,63.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,1,0,60,0,2,112.4,0,5,60.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,0,0,120,0,1,114.2,0,5,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,5.0,1,0,120,0,2,118.4,0,5,68.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,6.0,0,0,60,0,2,113.2,0,5,74.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,5.0,0,0,180,0,2,117.2,0,5,61.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,9.0,0,0,240,0,1,113.6,0,5,46.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,8.0,0,0,60,0,2,117.0,0,5,65.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5.0,1,0,60,0,2,112.0,0,5,72.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2.0,1,0,120,0,2,106.0,0,5,43.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,2,5.0,0,0,120,0,2,116.8,0,5,76.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,2,4.0,0,0,60,1,1,66.33333333333333,0,3,76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,7.0,0,0,60,0,2,114.2,0,5,58.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,7.0,0,0,150,0,2,113.6,0,5,59.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,2.0,0,0,120,0,2,114.0,0,5,70.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,3.0,0,0,60,0,0,114.2,0,5,87.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,2.0,0,0,60,0,2,110.6,0,5,70.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,0,0,120,0,2,114.8,0,5,66.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,1,0,60,0,2,114.2,0,5,73.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,4.0,0,0,120,0,2,114.2,0,5,71.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,0,0,120,0,2,114.0,0,5,72.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,4.0,0,0,120,0,2,113.6,0,5,81.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,6.0,0,0,60,0,2,115.2,0,5,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,0,0,120,0,1,113.0,0,5,59.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,7.0,0,0,120,0,2,120.0,0,5,73.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,2,3.0,0,0,120,0,1,85.5,0,2,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,9.0,0,0,120,0,2,113.0,0,5,82.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,4,9.0,1,0,60,0,2,114.2,0,5,76.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4,9.0,1,0,60,0,1,36.5,0,2,66.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,2,0,120,0,2,114.4,0,5,66.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,6.0,2,0,120,0,0,113.4,0,5,80.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,7.0,2,0,60,0,2,108.2,0,5,72.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,6.0,2,0,60,0,0,112.2,0,5,81.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,2,9.0,1,0,60,0,2,114.0,0,5,76.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,5.0,1,0,60,0,2,113.0,0,5,61.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,3,4.0,1,0,60,0,2,114.2,0,5,77.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,4.0,1,0,60,0,2,118.0,0,5,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3,9.0,1,0,60,0,2,113.2,0,5,68.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,9.0,1,0,60,0,2,114.8,0,5,56.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,3.0,1,0,60,0,2,113.8,0,5,70.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,8.0,2,0,60,0,2,115.0,0,5,82.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,7.0,1,0,60,0,1,43.5,0,2,35.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,3,3.0,1,0,60,0,2,119.6,0,5,75.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2,0.0,1,0,120,0,1,78.0,0,2,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,3,4.0,1,0,120,0,2,113.6,0,5,81.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,4.0,1,0,60,1,1,117.8,0,10,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,4.0,1,1,60,1,2,117.8,0,10,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,7.0,1,0,60,0,2,115.6,0,5,61.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,8.0,1,0,60,0,2,115.0,0,5,73.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,9.0,1,0,60,0,2,112.8,0,5,79.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,9.0,1,0,60,0,1,70.0,0,2,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,6.0,1,0,60,0,0,111.4,0,5,84.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,3.0,1,0,60,0,2,112.4,0,5,85.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,3,4.0,1,0,60,0,2,114.2,0,5,78.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,6.0,1,0,60,0,2,109.4,0,5,83.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
